,RAP,MSU1
0,Os01g0100100,LOC_Os01g01010
1,Os01g0100200,LOC_Os01g01019
2,Os01g0100300,None
3,Os01g0100400,LOC_Os01g01030
4,Os01g0100466,None
5,Os01g0100500,LOC_Os01g01040
6,Os01g0100600,LOC_Os01g01050
7,Os01g0100650,None
8,Os01g0100700,LOC_Os01g01060
9,Os01g0100800,LOC_Os01g01070
10,Os01g0100900,LOC_Os01g01080
11,Os01g0101150,LOC_Os01g01115
12,Os01g0101175,None
13,Os01g0101200,LOC_Os01g01120
14,Os01g0101300,LOC_Os01g01130
15,Os01g0101500,LOC_Os01g01140
16,Os01g0101600,LOC_Os01g01150
17,Os01g0101700,LOC_Os01g01160
18,Os01g0101800,LOC_Os01g01170
19,Os01g0101850,None
20,Os01g0101900,LOC_Os01g01180
21,Os01g0102000,LOC_Os01g01190
22,Os01g0102300,LOC_Os01g01280
23,Os01g0102400,LOC_Os01g01290
24,Os01g0102500,LOC_Os01g01295
25,Os01g0102600,LOC_Os01g01302
26,Os01g0102700,LOC_Os01g01307
27,Os01g0102800,LOC_Os01g01312
28,Os01g0102850,None
29,Os01g0102900,LOC_Os01g01340
30,Os01g0103000,LOC_Os01g01350
31,Os01g0103050,None
32,Os01g0103075,None
33,Os01g0103100,LOC_Os01g01360
34,Os01g0103400,None
35,Os01g0103600,LOC_Os01g01369
36,Os01g0103650,None
37,Os01g0103700,LOC_Os01g01380
38,Os01g0103800,LOC_Os01g01390
39,Os01g0103900,LOC_Os01g01400
40,Os01g0104000,LOC_Os01g01410
41,Os01g0104100,LOC_Os01g01420
42,Os01g0104200,LOC_Os01g01430
43,Os01g0104300,LOC_Os01g01440
44,Os01g0104350,None
45,Os01g0104400,LOC_Os01g01450
46,Os01g0104500,LOC_Os01g01470
47,Os01g0104600,LOC_Os01g01484
48,Os01g0104800,LOC_Os01g01510
49,Os01g0104900,LOC_Os01g01520
50,Os01g0105300,LOC_Os01g01560
51,Os01g0105400,LOC_Os01g01570
52,Os01g0105450,None
53,Os01g0105700,LOC_Os01g01600
54,Os01g0105800,LOC_Os01g01610
55,Os01g0105900,LOC_Os01g01620
56,Os01g0106200,LOC_Os01g01640
57,Os01g0106300,LOC_Os01g01650
58,Os01g0106400,LOC_Os01g01660
59,Os01g0106500,LOC_Os01g01670
60,Os01g0106600,LOC_Os01g01680
61,Os01g0106700,LOC_Os01g01689
62,Os01g0106800,LOC_Os01g01700
63,Os01g0106900,LOC_Os01g01710
64,Os01g0107000,LOC_Os01g01720
65,Os01g0107200,LOC_Os01g01730
66,Os01g0107400,LOC_Os01g01740
67,Os01g0107700,LOC_Os01g01780
68,Os01g0107750,None
69,Os01g0107801,None
70,Os01g0107900,LOC_Os01g01790
71,Os01g0108000,LOC_Os01g01800
72,Os01g0108200,LOC_Os01g01830
73,Os01g0108400,LOC_Os01g01840
74,Os01g0108500,LOC_Os01g01840
75,Os01g0108600,LOC_Os01g01870
76,Os01g0108700,LOC_Os01g01880
77,Os01g0108800,LOC_Os01g01890
78,Os01g0109000,None
79,Os01g0109200,LOC_Os01g01930
80,Os01g0109201,None
81,Os01g0109300,LOC_Os01g01920
82,Os01g0109366,LOC_Os01g01925
83,Os01g0109432,None
84,Os01g0109500,LOC_Os01g01940
85,Os01g0109600,LOC_Os01g01950
86,Os01g0109700,LOC_Os01g01960
87,Os01g0109750,LOC_Os01g01970
88,Os01g0109900,LOC_Os01g01980
89,Os01g0110050,None
90,Os01g0110100,LOC_Os01g02000
91,Os01g0110200,LOC_Os01g02010
92,Os01g0110400,LOC_Os01g02020
93,Os01g0110500,LOC_Os01g02040
94,Os01g0110600,None
95,Os01g0110700,LOC_Os01g02050
96,Os01g0110800,LOC_Os01g02060
97,Os01g0110901,None
98,Os01g0111000,LOC_Os01g02070
99,Os01g0111100,LOC_Os01g02080
100,Os01g0111200,LOC_Os01g02090
101,Os01g0111300,None
102,Os01g0111400,LOC_Os01g02100
103,Os01g0111500,LOC_Os01g02110
104,Os01g0111600,LOC_Os01g02120
105,Os01g0111700,LOC_Os01g02130
106,Os01g0111800,LOC_Os01g02139
107,Os01g0111900,LOC_Os01g02150
108,Os01g0112000,LOC_Os01g02160
109,Os01g0112050,LOC_Os01g02170
110,Os01g0112100,LOC_Os01g02170
111,Os01g0112201,None
112,Os01g0112300,LOC_Os01g02180
113,Os01g0112400,LOC_Os01g02190
114,Os01g0112500,LOC_Os01g02200
115,Os01g0112600,None
116,Os01g0112701,None
117,Os01g0112800,LOC_Os01g02250
118,Os01g0113000,LOC_Os01g02270
119,Os01g0113150,LOC_Os01g02280
120,Os01g0113200,LOC_Os01g02290
121,Os01g0113300,LOC_Os01g02300
122,Os01g0113325,None
123,Os01g0113350,LOC_Os01g02310
124,Os01g0113400,LOC_Os01g02320
125,Os01g0113450,None
126,Os01g0113500,None
127,Os01g0113600,LOC_Os01g02334
128,Os01g0113650,None
129,Os01g0113700,LOC_Os01g02350
130,Os01g0113750,None
131,Os01g0113800,LOC_Os01g02360
132,Os01g0113833,None
133,Os01g0113900,LOC_Os01g02370
134,Os01g0113950,None
135,Os01g0114000,LOC_Os01g02380
136,Os01g0114050,None
137,Os01g0114100,LOC_Os01g02390
138,Os01g0114150,None
139,Os01g0114200,None
140,Os01g0114300,LOC_Os01g02400
141,Os01g0114400,LOC_Os01g02410
142,Os01g0114401,LOC_Os01g02410
143,Os01g0114402,None
144,Os01g0114450,LOC_Os01g02410
145,Os01g0114500,LOC_Os01g02420
146,Os01g0114550,None
147,Os01g0114600,LOC_Os01g02430
148,Os01g0114650,None
149,Os01g0114700,LOC_Os01g02440
150,Os01g0114800,LOC_Os01g02450
151,Os01g0114900,LOC_Os01g02460
152,Os01g0115100,LOC_Os01g02490
153,Os01g0115200,LOC_Os01g02500
154,Os01g0115300,None
155,Os01g0115500,LOC_Os01g02550
156,Os01g0115533,None
157,Os01g0115566,LOC_Os01g02550
158,Os01g0115600,LOC_Os01g02560
159,Os01g0115700,LOC_Os01g02570
160,Os01g0115725,None
161,Os01g0115750,LOC_Os01g02580
162,Os01g0115751,None
163,Os01g0115752,None
